											75%	15%				
	Yogurt	Jelly	Soups	Salads	Sandwiches	Meaty Meals	Starchy Meals	Fruit Meals	Veggie Meals	Fish Meals	Drinks	Desserts	Snacks			
Apple	Apple Yogurt	Apple Jelly						Apple Sauce			Apple Juice, Apple Smoothie	Caramel Apple, Apple Fritter, Apple Pie				
Apricot	Apricot Yogurt	Apricot Jelly						Apricot Glazed Pork			Apricot Smoothie, Apricot Juice					
Asparagus			Asparagus Soup						Grilled Asparagus, Asparagus Quiche							
Avocado			Cream of Avacado Soup,			Avocado Burrito		Guacamole								
Banana	Banana Yogurt						Banana Nutbread,				Banana Smoothie	Banana Split,				
Bamboo							Bamboo Steam Rice,									
Beans							Bean Burrito, Refried Beans, Baked Beans, Beans and Rice									
Beef					Hamburger, Cheeseburger, Delighted Meal, Deluxe Cheeseburger, McPam, Onion Hamburger	Pot Roast, Taco, Maple Sausage, Steak and Chips, Steak	Spaghetti and Meatballs, Chili, Sausage in Bread, Beef Wellington, Meat Pie, Cornish Pasty, Cottage Pie	Mince Pie	Beet Burger, Coleslaw Burger	Fish Taco			Beef Jerky			
Beet			Beet Soup	Beet Salad					Baked Beets				Pickled Beets			
Bell Pepper									Stuffed pepper							
Blackberry	Blackberry Yogurt	Blackberry Jelly									Blackberry Smoothie, Blackberry Juice	Blackberry Cobbler,				
Blueberry	Blueberry Yogurt	Blueberry Jelly					Blueberry Pancakes				Blueberry Smoothie, Blueberry Juice	Blueberry Pie, Blueberry Muffin, 				
Brocolli			Creamed Broccoli Soup				Broccoli Mac						Broccoli n Dip			
Cabbage									Kimchi		Cactus Fruit Juice					
Cactus Fruit			Cactus Soup,													
Cauliflower									Overn Roasted Cauliflower,							
Carrot			Carrot Soup						Glazed Carrots, Honey Glazed Carrots		Carrot Juice					
Celery			Celery Soup										Celery and Peanut Butter			
Cherry	Cherry  Yogurt	Cherry Jelly									Cherry Smoothie, Cherry Juice, Cherry Soda	Cherry Pie, Chocolate Cherry				
Chicken			Chicken Noodle Soup, Chicken Gumbo		Chicken Sandwich, Leafy Chicken Sandwich	Cashew Chicken, Hot Wings, Chicken Curry, Deluxe Chicken Curry, General Tso's Chicken, Roast Chicken, Kung Pao Chicken, Cooked Chicken	Chicken Parmesan, Fried Chicken, Chicken Chow Mein	Orange Chicken, Sweet and Sour Chicken	Chicken Celery Casserole, Sunday Roast				Raw Chicken			`
Chili Pepper							Extreme Chili						Chili Poppers			
Cinnamon												Cinnamon Sugar Donut, Cinnamon Roll				
Cocoa								Cherry Coconut Chocolate Bar				 Hot Chocolate, Chocolate Ice Cream, Chocolate Roll, Snickers Bar, Nutella, Chaos Cookie, Tim Tam, Honeycomb Chocolate Bar, Chocolate Caramel Fudge, Chocolate Donut, Brownie, Chili Chocolate, Chocolate Bar				
Coconut	Coconut Yogurt										Pinacolada, Coconut Milk, Coconut Smoothie		Coconut Cream, Toasted Coconut			
Coffee											Cup of Coffee, Coffee con Leche, Espresso	Mocha Ice Cream				
Corn			Creamed Corn				Cornbread, Tortilla, Nachoes				Coffee con Leche, Espresso		Corn on the cob, Popcorn			
Cranberry	Cranberry Yogurt	Cranberry Jelly						Cranberry Sauce	Hushpuppies		Cranberry Smoothie, Cranberry Juice	Cranberry Bar				
